contractId,businessDate,tradeTime,stockSymbol,securityName,stockId,buyerMemberId,buyerBrokerName,sellerMemberId,sellerBrokerName,contractQuantity,contractRate,contractAmount,tradeBookId
2026091001000001,2026-09-10,2026-09-10T10:46:00.007413,NABIL,Nabil Bank Limited,131,62,Capital Max Securities Ltd,7,J.F. Securites (PVT) Ltd.,10,555.0,5550.0,198434552
2026091001000002,2026-09-10,2026-09-10T10:46:00.007533,NABIL,Nabil Bank Limited,131,42,Sani Securities Company Ltd.,7,J.F. Securites (PVT) Ltd.,20,555.0,11100.0,198434554
2026091001000003,2026-09-10,2026-09-10T10:46:00.020959,HBL,Himalayan Bank Limited,134,77,Nabil Stock Dealer Ltd.,39,Sumeru Securities Pvt. Ltd.,10,187.0,1870.0,198434562
2026091001000004,2026-09-10,2026-09-10T10:46:00.021037,HBL,Himalayan Bank Limited,134,77,Nabil Stock Dealer Ltd.,21,Midas Stock Broking Company Private Limited,10,187.0,1870.0,198434565
2026091001000005,2026-09-10,2026-09-10T10:46:00.021081,HBL,Himalayan Bank Limited,134,77,Nabil Stock Dealer Ltd.,85,Capital Hub P. Ltd,10,187.0,1870.0,198434567
2026091001000006,2026-09-10,2026-09-10T10:46:00.021133,HBL,Himalayan Bank Limited,134,77,Nabil Stock Dealer Ltd.,35,Kohinoor Investment & Securities Pvt. Ltd.,10,187.0,1870.0,198434569
2026091001000007,2026-09-10,2026-09-10T10:46:00.021199,HBL,Himalayan Bank Limited,134,77,Nabil Stock Dealer Ltd.,62,Capital Max Securities Ltd,10,187.0,1870.0,198434571
2026091001000008,2026-09-10,2026-09-10T10:46:00.030428,NICA,NIC Asia Bank Ltd.,139,45,Imperial Securities Company Pvt. Ltd.,28,Shree Krishna Securities Ltd.,10,309.0,3090.0,198434581
2026091001000009,2026-09-10,2026-09-10T10:46:00.04612,NMB,NMB Bank Limited,238,7,J.F. Securites (PVT) Ltd.,41,Linch Stock Market Ltd.,1000,243.0,243000.0,198434605
2026091001000010,2026-09-10,2026-09-10T10:46:00.052236,GBIME,Global IME Bank Limited,341,42,Sani Securities Company Ltd.,25,Sweta Securities Private Limited,20,254.0,5080.0,198434608
2026091001000011,2026-09-10,2026-09-10T10:46:00.052297,GBIME,Global IME Bank Limited,341,77,Nabil Stock Dealer Ltd.,25,Sweta Securities Private Limited,200,254.0,50800.0,198434609
2026091001000012,2026-09-10,2026-09-10T10:46:00.052352,GBIME,Global IME Bank Limited,341,77,Nabil Stock Dealer Ltd.,42,Sani Securities Company Ltd.,51,254.0,12954.0,198434611
2026091001000013,2026-09-10,2026-09-10T10:46:00.052397,GBIME,Global IME Bank Limited,341,77,Nabil Stock Dealer Ltd.,35,Kohinoor Investment & Securities Pvt. Ltd.,33,254.0,8382.0,198434616
2026091001000014,2026-09-10,2026-09-10T10:46:00.052473,GBIME,Global IME Bank Limited,341,77,Nabil Stock Dealer Ltd.,101,APPLE SECURITIES PRIVATE LIMITED,216,254.0,54864.0,198434623
2026091001000015,2026-09-10,2026-09-10T10:46:00.052534,GBIME,Global IME Bank Limited,341,77,Nabil Stock Dealer Ltd.,101,APPLE SECURITIES PRIVATE LIMITED,79,254.0,20066.0,198434625
2026091001000016,2026-09-10,2026-09-10T10:46:00.057469,CZBIL,Citizens Bank International Limited,348,21,Midas Stock Broking Company Private Limited,96,Himalayan Securities Limited,20,190.3,3806.0,198434633
2026091001000017,2026-09-10,2026-09-10T10:46:00.068686,NBL,Nepal Bank Limited,517,52,Sundhara Securities Limited,29,Trisul Securities & Invt. Ltd.,10,278.0,2780.0,198434644
2026091001000018,2026-09-10,2026-09-10T10:46:00.126513,EBLD85,10.50% Everest Bank Limited Debenture 2085,8119,45,Imperial Securities Company Pvt. Ltd.,100,Sunrise Securities Limited,2,1065.0,2130.0,198434651
2026091001000019,2026-09-10,2026-09-10T10:46:00.133469,KDL,Kalinchowk Darshan Limited,9151,33,Dakshinkali Investment & Securities Pvt. Ltd.,29,Trisul Securities & Invt. Ltd.,11,654.3,7197.3,198434657
2026091001000020,2026-09-10,2026-09-10T10:46:00.133501,KDL,Kalinchowk Darshan Limited,9151,33,Dakshinkali Investment & Securities Pvt. Ltd.,58,Naasa Securities Co. Ltd.,67,654.3,43838.1,198434659
2026091001000021,2026-09-10,2026-09-10T10:46:00.133524,KDL,Kalinchowk Darshan Limited,9151,33,Dakshinkali Investment & Securities Pvt. Ltd.,4,Opal Securities Investment (PVT) Ltd.,20,654.3,13086.0,198434661
2026091001000022,2026-09-10,2026-09-10T10:46:00.133569,KDL,Kalinchowk Darshan Limited,9151,33,Dakshinkali Investment & Securities Pvt. Ltd.,58,Naasa Securities Co. Ltd.,20,654.3,13086.0,198434663
2026091001000023,2026-09-10,2026-09-10T10:46:00.133609,KDL,Kalinchowk Darshan Limited,9151,33,Dakshinkali Investment & Securities Pvt. Ltd.,45,Imperial Securities Company Pvt. Ltd.,80,654.3,52344.0,198434666
2026091001000024,2026-09-10,2026-09-10T10:46:00.166133,SAPIL,Sarvottam Paints Industries Limited,9353,1,Kumari Securities Private Limited,48,Trishakti Securities Public Limited,10,1180.0,11800.0,198434699
2026091001000025,2026-09-10,2026-09-10T10:46:00.238606,HBL,Himalayan Bank Limited,134,77,Nabil Stock Dealer Ltd.,49,Online Securities Pvt. Ltd.,10,188.0,1880.0,198434710
2026091001000026,2026-09-10,2026-09-10T11:00:02.559261,KDL,Kalinchowk Darshan Limited,9151,33,Dakshinkali Investment & Securities Pvt. Ltd.,42,Sani Securities Company Ltd.,250,654.3,163575.0,198434777
2026091001000027,2026-09-10,2026-09-10T11:00:03.859354,KDL,Kalinchowk Darshan Limited,9151,33,Dakshinkali Investment & Securities Pvt. Ltd.,5,Market Securities & Exchange (PVT) Ltd.,10,654.3,6543.0,198434783
2026091001000028,2026-09-10,2026-09-10T11:00:14.283471,NIMB,Nepal Investment Mega Bank Limited,132,49,Online Securities Pvt. Ltd.,58,Naasa Securities Co. Ltd.,30,182.5,5475.0,198434813
2026091001000029,2026-09-10,2026-09-10T11:00:18.553783,HBL,Himalayan Bank Limited,134,77,Nabil Stock Dealer Ltd.,3,Arun Securities (PVT) Ltd.,240,188.0,45120.0,198434820
2026091001000030,2026-09-10,2026-09-10T11:00:18.553893,HBL,Himalayan Bank Limited,134,77,Nabil Stock Dealer Ltd.,3,Arun Securities (PVT) Ltd.,260,188.0,48880.0,198434821
2026091001000031,2026-09-10,2026-09-10T11:00:23.804267,KDL,Kalinchowk Darshan Limited,9151,38,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,46,Kalika Securities Pvt. Ltd.,100,656.0,65600.0,198434841
2026091001000032,2026-09-10,2026-09-10T11:00:26.386815,GBIME,Global IME Bank Limited,341,77,Nabil Stock Dealer Ltd.,57,Aryatara Investment & Securities,21,254.0,5334.0,198434852
2026091001000033,2026-09-10,2026-09-10T11:00:29.495829,MEPDL,Mount Everest Power Development Limited,9352,58,Naasa Securities Co. Ltd.,49,Online Securities Pvt. Ltd.,75,625.0,46875.0,198434863
2026091001000034,2026-09-10,2026-09-10T11:00:34.128944,SAPIL,Sarvottam Paints Industries Limited,9353,42,Sani Securities Company Ltd.,49,Online Securities Pvt. Ltd.,10,1200.1,12001.0,198434871
2026091001000035,2026-09-10,2026-09-10T11:00:34.381634,KDL,Kalinchowk Darshan Limited,9151,74,KALASH STOCK MARKET PVT. LTD.,49,Online Securities Pvt. Ltd.,200,655.1,131020.0,198434874
2026091001000036,2026-09-10,2026-09-10T11:00:34.381722,KDL,Kalinchowk Darshan Limited,9151,48,Trishakti Securities Public Limited,49,Online Securities Pvt. Ltd.,200,654.3,130860.0,198434876
2026091001000037,2026-09-10,2026-09-10T11:00:36.7984,HBL,Himalayan Bank Limited,134,77,Nabil Stock Dealer Ltd.,32,Premier Securities Company Ltd.,240,188.0,45120.0,198434900
2026091001000038,2026-09-10,2026-09-10T11:00:57.578074,KDL,Kalinchowk Darshan Limited,9151,22,Siprabi Securities Pvt. Ltd.,49,Online Securities Pvt. Ltd.,50,654.0,32700.0,198434958
2026091001000039,2026-09-10,2026-09-10T11:00:58.586609,HBL,Himalayan Bank Limited,134,42,Sani Securities Company Ltd.,25,Sweta Securities Private Limited,1600,186.0,297600.0,198434963
2026091001000040,2026-09-10,2026-09-10T11:01:00.957114,KDL,Kalinchowk Darshan Limited,9151,19,Nepal Investment And Securities Trading Private Limited,49,Online Securities Pvt. Ltd.,30,654.0,19620.0,198434978
2026091001000041,2026-09-10,2026-09-10T11:01:01.247093,KDL,Kalinchowk Darshan Limited,9151,42,Sani Securities Company Ltd.,49,Online Securities Pvt. Ltd.,640,640.0,409600.0,198434980
2026091001000042,2026-09-10,2026-09-10T11:01:01.247156,KDL,Kalinchowk Darshan Limited,9151,49,Online Securities Pvt. Ltd.,49,Online Securities Pvt. Ltd.,50,638.0,31900.0,198434982
2026091001000043,2026-09-10,2026-09-10T11:01:01.247183,KDL,Kalinchowk Darshan Limited,9151,38,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,49,Online Securities Pvt. Ltd.,100,637.1,63710.0,198434984
2026091001000044,2026-09-10,2026-09-10T11:01:01.247205,KDL,Kalinchowk Darshan Limited,9151,58,Naasa Securities Co. Ltd.,49,Online Securities Pvt. Ltd.,20,637.1,12742.0,198434986
2026091001000045,2026-09-10,2026-09-10T11:01:01.24723,KDL,Kalinchowk Darshan Limited,9151,58,Naasa Securities Co. Ltd.,49,Online Securities Pvt. Ltd.,190,637.0,121030.0,198434987
2026091001000046,2026-09-10,2026-09-10T11:01:09.291692,NIBLGF,NIBL Growth Fund,9138,52,Sundhara Securities Limited,11,Malla & Malla Stock Broking Company Pvt. Limited,100,8.5,850.0,198435015
2026091001000047,2026-09-10,2026-09-10T11:01:11.014417,SAPIL,Sarvottam Paints Industries Limited,9353,58,Naasa Securities Co. Ltd.,77,Nabil Stock Dealer Ltd.,10,1216.0,12160.0,198435017
2026091001000048,2026-09-10,2026-09-10T11:01:17.925886,MEPDL,Mount Everest Power Development Limited,9352,45,Imperial Securities Company Pvt. Ltd.,47,Neev Securities Pvt. Ltd.,10,621.0,6210.0,198435037
2026091001000049,2026-09-10,2026-09-10T11:01:19.397289,SAPIL,Sarvottam Paints Industries Limited,9353,1,Kumari Securities Private Limited,49,Online Securities Pvt. Ltd.,10,1216.1,12161.0,198435039
2026091001000050,2026-09-10,2026-09-10T11:01:22.136196,SAPIL,Sarvottam Paints Industries Limited,9353,1,Kumari Securities Private Limited,58,Naasa Securities Co. Ltd.,10,1216.1,12161.0,198435043
2026091001000051,2026-09-10,2026-09-10T11:01:26.292379,GBIME,Global IME Bank Limited,341,1,Kumari Securities Private Limited,35,Kohinoor Investment & Securities Pvt. Ltd.,10,251.0,2510.0,198435055
2026091001000052,2026-09-10,2026-09-10T11:01:30.483057,NABIL,Nabil Bank Limited,131,42,Sani Securities Company Ltd.,58,Naasa Securities Co. Ltd.,18,554.0,9972.0,198435073
2026091001000053,2026-09-10,2026-09-10T11:01:32.606366,MEPDL,Mount Everest Power Development Limited,9352,45,Imperial Securities Company Pvt. Ltd.,49,Online Securities Pvt. Ltd.,40,621.0,24840.0,198435083
2026091001000054,2026-09-10,2026-09-10T11:01:36.04818,HBL,Himalayan Bank Limited,134,42,Sani Securities Company Ltd.,38,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,10,186.0,1860.0,198435093
2026091001000055,2026-09-10,2026-09-10T11:01:39.557009,C30MF,Citizens Super 30 Mutual Fund,9191,28,Shree Krishna Securities Ltd.,58,Naasa Securities Co. Ltd.,100,9.76,976.0,198435097
2026091001000056,2026-09-10,2026-09-10T11:01:51.712332,KDL,Kalinchowk Darshan Limited,9151,29,Trisul Securities & Invt. Ltd.,33,Dakshinkali Investment & Securities Pvt. Ltd.,70,645.0,45150.0,198435119
2026091001000057,2026-09-10,2026-09-10T11:01:53.20938,NABIL,Nabil Bank Limited,131,38,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,44,Dynamic Money Managers Securities Pvt. Ltd.,10,553.0,5530.0,198435128
2026091001000058,2026-09-10,2026-09-10T11:01:53.209519,NABIL,Nabil Bank Limited,131,58,Naasa Securities Co. Ltd.,44,Dynamic Money Managers Securities Pvt. Ltd.,10,553.0,5530.0,198435130
2026091001000059,2026-09-10,2026-09-10T11:01:53.209567,NABIL,Nabil Bank Limited,131,58,Naasa Securities Co. Ltd.,44,Dynamic Money Managers Securities Pvt. Ltd.,10,553.0,5530.0,198435131
2026091001000060,2026-09-10,2026-09-10T11:01:53.726551,KDL,Kalinchowk Darshan Limited,9151,29,Trisul Securities & Invt. Ltd.,49,Online Securities Pvt. Ltd.,30,645.0,19350.0,198435136
2026091001000061,2026-09-10,2026-09-10T11:01:53.726626,KDL,Kalinchowk Darshan Limited,9151,41,Linch Stock Market Ltd.,49,Online Securities Pvt. Ltd.,50,640.0,32000.0,198435138
2026091001000062,2026-09-10,2026-09-10T11:01:53.726651,KDL,Kalinchowk Darshan Limited,9151,38,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,49,Online Securities Pvt. Ltd.,20,638.1,12762.0,198435140
2026091001000063,2026-09-10,2026-09-10T11:01:53.726681,KDL,Kalinchowk Darshan Limited,9151,74,KALASH STOCK MARKET PVT. LTD.,49,Online Securities Pvt. Ltd.,60,637.2,38232.0,198435142
2026091001000064,2026-09-10,2026-09-10T11:01:53.726704,KDL,Kalinchowk Darshan Limited,9151,80,Indira securities pvt. ltd,49,Online Securities Pvt. Ltd.,300,637.1,191130.0,198435144
2026091001000065,2026-09-10,2026-09-10T11:01:53.726729,KDL,Kalinchowk Darshan Limited,9151,35,Kohinoor Investment & Securities Pvt. Ltd.,49,Online Securities Pvt. Ltd.,100,637.0,63700.0,198435146
2026091001000066,2026-09-10,2026-09-10T11:01:53.726757,KDL,Kalinchowk Darshan Limited,9151,19,Nepal Investment And Securities Trading Private Limited,49,Online Securities Pvt. Ltd.,50,637.0,31850.0,198435148
2026091001000067,2026-09-10,2026-09-10T11:01:56.148038,KDL,Kalinchowk Darshan Limited,9151,34,Vision Securities Pvt. Ltd,49,Online Securities Pvt. Ltd.,300,637.0,191100.0,198435160
2026091001000068,2026-09-10,2026-09-10T11:01:58.243093,SAPIL,Sarvottam Paints Industries Limited,9353,62,Capital Max Securities Ltd,34,Vision Securities Pvt. Ltd,10,1225.0,12250.0,198435161
2026091001000069,2026-09-10,2026-09-10T11:01:59.737812,KDL,Kalinchowk Darshan Limited,9151,17,ABC Securities Private Limited,49,Online Securities Pvt. Ltd.,90,637.0,57330.0,198435165
2026091001000070,2026-09-10,2026-09-10T11:01:59.737928,KDL,Kalinchowk Darshan Limited,9151,17,ABC Securities Private Limited,58,Naasa Securities Co. Ltd.,10,652.0,6520.0,198435168
2026091001000071,2026-09-10,2026-09-10T11:02:05.380348,MEPDL,Mount Everest Power Development Limited,9352,53,Investment Management Nepal Pvt. Ltd.,40,Creative Securities Pvt Ltd,10,614.0,6140.0,198435183
2026091001000072,2026-09-10,2026-09-10T11:02:09.65742,SAPIL,Sarvottam Paints Industries Limited,9353,16,Primo Securities (PVT) Ltd.,65,Sharepro Securities Private Limited,10,1227.0,12270.0,198435201
2026091001000073,2026-09-10,2026-09-10T11:02:10.214777,SAPIL,Sarvottam Paints Industries Limited,9353,74,KALASH STOCK MARKET PVT. LTD.,58,Naasa Securities Co. Ltd.,10,1240.0,12400.0,198435205
2026091001000074,2026-09-10,2026-09-10T11:02:10.214866,SAPIL,Sarvottam Paints Industries Limited,9353,74,KALASH STOCK MARKET PVT. LTD.,58,Naasa Securities Co. Ltd.,10,1240.0,12400.0,198435207
2026091001000075,2026-09-10,2026-09-10T11:02:10.214921,SAPIL,Sarvottam Paints Industries Limited,9353,74,KALASH STOCK MARKET PVT. LTD.,58,Naasa Securities Co. Ltd.,10,1240.0,12400.0,198435209
2026091001000076,2026-09-10,2026-09-10T11:02:10.214949,SAPIL,Sarvottam Paints Industries Limited,9353,74,KALASH STOCK MARKET PVT. LTD.,40,Creative Securities Pvt Ltd,10,1240.0,12400.0,198435212
2026091001000077,2026-09-10,2026-09-10T11:02:10.579041,SAPIL,Sarvottam Paints Industries Limited,9353,16,Primo Securities (PVT) Ltd.,49,Online Securities Pvt. Ltd.,10,1227.0,12270.0,198435215
2026091001000078,2026-09-10,2026-09-10T11:02:12.054031,MEPDL,Mount Everest Power Development Limited,9352,53,Investment Management Nepal Pvt. Ltd.,38,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,10,615.0,6150.0,198435223
2026091001000079,2026-09-10,2026-09-10T11:02:17.172096,KDL,Kalinchowk Darshan Limited,9151,35,Kohinoor Investment & Securities Pvt. Ltd.,58,Naasa Securities Co. Ltd.,40,652.0,26080.0,198435229
2026091001000080,2026-09-10,2026-09-10T11:02:23.268624,MEPDL,Mount Everest Power Development Limited,9352,39,Sumeru Securities Pvt. Ltd.,6,Agrawal Securities (PVT) Ltd.,10,615.1,6151.0,198435249
2026091001000081,2026-09-10,2026-09-10T11:02:25.597085,KDL,Kalinchowk Darshan Limited,9151,35,Kohinoor Investment & Securities Pvt. Ltd.,49,Online Securities Pvt. Ltd.,60,652.0,39120.0,198435264
2026091001000082,2026-09-10,2026-09-10T11:02:28.975642,GMLI,Guardian Micro Life Insurance Limited ,9246,38,Dipshikha Dhitopatra Karobar Co. Pvt Ltd.,40,Creative Securities Pvt Ltd,10,950.0,9500.0,198435277
2026091001000083,2026-09-10,2026-09-10T11:02:29.677951,LSL,Laxmi Sunrise Bank Limited,141,49,Online Securities Pvt. Ltd.,83,Sanima Securities Limited,2150,226.0,485900.0,198435286
2026091001000084,2026-09-10,2026-09-10T11:02:29.678074,LSL,Laxmi Sunrise Bank Limited,141,49,Online Securities Pvt. Ltd.,83,Sanima Securities Limited,850,226.0,192100.0,198435287
2026091001000085,2026-09-10,2026-09-10T11:02:30.871118,GBIME,Global IME Bank Limited,341,1,Kumari Securities Private Limited,48,Trishakti Securities Public Limited,25,251.0,6275.0,198435290
2026091001000086,2026-09-10,2026-09-10T11:02:30.871167,GBIME,Global IME Bank Limited,341,3,Arun Securities (PVT) Ltd.,48,Trishakti Securities Public Limited,179,251.0,44929.0,198435292
2026091001000087,2026-09-10,2026-09-10T11:02:30.871197,GBIME,Global IME Bank Limited,341,29,Trisul Securities & Invt. Ltd.,48,Trishakti Securities Public Limited,500,250.6,125300.0,198435294
2026091001000088,2026-09-10,2026-09-10T11:02:30.871243,GBIME,Global IME Bank Limited,341,51,Oxford Securities Pvt. Ltd.,48,Trishakti Securities Public Limited,30,250.6,7518.0,198435296
2026091001000089,2026-09-10,2026-09-10T11:02:30.871267,GBIME,Global IME Bank Limited,341,49,Online Securities Pvt. Ltd.,48,Trishakti Securities Public Limited,119,250.5,29809.5,198435298
2026091001000090,2026-09-10,2026-09-10T11:02:30.8713,GBIME,Global IME Bank Limited,341,49,Online Securities Pvt. Ltd.,48,Trishakti Securities Public Limited,1950,250.5,488475.0,198435300
2026091001000091,2026-09-10,2026-09-10T11:02:30.871324,GBIME,Global IME Bank Limited,341,49,Online Securities Pvt. Ltd.,48,Trishakti Securities Public Limited,1950,250.5,488475.0,198435302
2026091001000092,2026-09-10,2026-09-10T11:02:30.871345,GBIME,Global IME Bank Limited,341,49,Online Securities Pvt. Ltd.,48,Trishakti Securities Public Limited,1950,250.5,488475.0,198435304
2026091001000093,2026-09-10,2026-09-10T11:02:30.871368,GBIME,Global IME Bank Limited,341,49,Online Securities Pvt. Ltd.,48,Trishakti Securities Public Limited,1950,250.5,488475.0,198435306
2026091001000094,2026-09-10,2026-09-10T11:02:30.871389,GBIME,Global IME Bank Limited,341,49,Online Securities Pvt. Ltd.,48,Trishakti Securities Public Limited,1950,250.5,488475.0,198435308
2026091001000095,2026-09-10,2026-09-10T11:02:30.871419,GBIME,Global IME Bank Limited,341,45,Imperial Securities Company Pvt. Ltd.,48,Trishakti Securities Public Limited,200,250.4,50080.0,198435310
2026091001000096,2026-09-10,2026-09-10T11:02:30.871442,GBIME,Global IME Bank Limited,341,35,Kohinoor Investment & Securities Pvt. Ltd.,48,Trishakti Securities Public Limited,20,250.1,5002.0,198435312
2026091001000097,2026-09-10,2026-09-10T11:02:30.871496,GBIME,Global IME Bank Limited,341,26,Asian Securities Private Ltd.,48,Trishakti Securities Public Limited,336,250.1,84033.6,198435313
2026091001000098,2026-09-10,2026-09-10T11:02:30.97348,MEPDL,Mount Everest Power Development Limited,9352,39,Sumeru Securities Pvt. Ltd.,10,Pragyan Securities (PVT) Ltd.,10,615.1,6151.0,198435315
2026091001000099,2026-09-10,2026-09-10T11:02:42.182278,NABIL,Nabil Bank Limited,131,25,Sweta Securities Private Limited,58,Naasa Securities Co. Ltd.,10,553.0,5530.0,198435345
2026091001000100,2026-09-10,2026-09-10T11:02:46.257354,MEPDL,Mount Everest Power Development Limited,9352,45,Imperial Securities Company Pvt. Ltd.,58,Naasa Securities Co. Ltd.,10,616.0,6160.0,198435353
2026091001000101,2026-09-10,2026-09-10T11:02:47.892332,GBIME,Global IME Bank Limited,341,6,Agrawal Securities (PVT) Ltd.,43,South Asian Bulls Pvt. Ltd.,50,253.0,12650.0,198435364
2026091001000102,2026-09-10,2026-09-10T11:02:49.196949,LSL,Laxmi Sunrise Bank Limited,141,58,Naasa Securities Co. Ltd.,13,Thrive Brokerage House Pvt. Ltd,210,227.8,47838.0,198435368
2026091001000103,2026-09-10,2026-09-10T11:02:49.37723,KDL,Kalinchowk Darshan Limited,9151,58,Naasa Securities Co. Ltd.,47,Neev Securities Pvt. Ltd.,18,650.0,11700.0,198435370
2026091001000104,2026-09-10,2026-09-10T11:02:55.892653,NIMB,Nepal Investment Mega Bank Limited,132,49,Online Securities Pvt. Ltd.,14,Nepal Stock House (PVT) Ltd.,100,182.5,18250.0,198435397
2026091001000105,2026-09-10,2026-09-10T11:02:59.553739,ADBL,Agricultural Development Bank Limited,397,57,Aryatara Investment & Securities,75,N.I.M.B. Stock Markets Limited,30,300.0,9000.0,198435412
2026091001000106,2026-09-10,2026-09-10T11:02:59.553795,ADBL,Agricultural Development Bank Limited,397,58,Naasa Securities Co. Ltd.,75,N.I.M.B. Stock Markets Limited,10,299.0,2990.0,198435414
2026091001000107,2026-09-10,2026-09-10T11:02:59.553832,ADBL,Agricultural Development Bank Limited,397,58,Naasa Securities Co. Ltd.,75,N.I.M.B. Stock Markets Limited,52,299.0,15548.0,198435415
2026091001000108,2026-09-10,2026-09-10T11:03:01.545043,NMIC,Nepal Micro Insurance Company Limited,9250,49,Online Securities Pvt. Ltd.,49,Online Securities Pvt. Ltd.,10,765.3,7653.0,198435419
2026091001000109,2026-09-10,2026-09-10T11:03:02.652432,SRLI,Sanima Reliance Life Insurance Limited,5982,43,South Asian Bulls Pvt. Ltd.,46,Kalika Securities Pvt. Ltd.,11,351.1,3862.1,198435421
2026091001000110,2026-09-10,2026-09-10T11:03:07.402878,KDL,Kalinchowk Darshan Limited,9151,25,Sweta Securities Private Limited,47,Neev Securities Pvt. Ltd.,100,650.0,65000.0,198435436
2026091001000111,2026-09-10,2026-09-10T11:03:08.2443,MEPDL,Mount Everest Power Development Limited,9352,53,Investment Management Nepal Pvt. Ltd.,56,Sri Hari Securities Pvt. Ltd.,10,617.0,6170.0,198435437
2026091001000112,2026-09-10,2026-09-10T11:03:10.845898,NBL,Nepal Bank Limited,517,48,Trishakti Securities Public Limited,25,Sweta Securities Private Limited,20,277.5,5550.0,198435451
2026091001000113,2026-09-10,2026-09-10T11:03:12.791672,NMB,NMB Bank Limited,238,49,Online Securities Pvt. Ltd.,48,Trishakti Securities Public Limited,1000,242.5,242500.0,198435455
2026091001000114,2026-09-10,2026-09-10T11:03:14.147372,KDL,Kalinchowk Darshan Limited,9151,58,Naasa Securities Co. Ltd.,47,Neev Securities Pvt. Ltd.,82,650.0,53300.0,198435463
2026091001000115,2026-09-10,2026-09-10T11:03:17.963347,SNLI,Sun Nepal Life Insurance Company Limited,9201,89,Global IME Securities Limited,46,Kalika Securities Pvt. Ltd.,17,380.0,6460.0,198435477
2026091001000116,2026-09-10,2026-09-10T11:03:21.335518,NICA,NIC Asia Bank Ltd.,139,45,Imperial Securities Company Pvt. Ltd.,94,K.B.L. Securities Limited ,45,309.0,13905.0,198435494
2026091001000117,2026-09-10,2026-09-10T11:03:21.990499,ADBL,Agricultural Development Bank Limited,397,58,Naasa Securities Co. Ltd.,34,Vision Securities Pvt. Ltd,1000,298.0,298000.0,198435495
2026091001000118,2026-09-10,2026-09-10T11:03:23.934513,HBL,Himalayan Bank Limited,134,58,Naasa Securities Co. Ltd.,58,Naasa Securities Co. Ltd.,10,185.1,1851.0,198435505
2026091001000119,2026-09-10,2026-09-10T11:03:27.579424,SAPIL,Sarvottam Paints Industries Limited,9353,16,Primo Securities (PVT) Ltd.,63,Himalayan Brokerage Company Limited,10,1233.0,12330.0,198435525
2026091001000120,2026-09-10,2026-09-10T11:03:30.628847,KDL,Kalinchowk Darshan Limited,9151,58,Naasa Securities Co. Ltd.,94,K.B.L. Securities Limited ,68,650.0,44200.0,198435530
2026091001000121,2026-09-10,2026-09-10T11:03:30.628909,KDL,Kalinchowk Darshan Limited,9151,35,Kohinoor Investment & Securities Pvt. Ltd.,94,K.B.L. Securities Limited ,100,650.0,65000.0,198435532
2026091001000122,2026-09-10,2026-09-10T11:03:31.310333,NBL,Nepal Bank Limited,517,48,Trishakti Securities Public Limited,49,Online Securities Pvt. Ltd.,130,277.5,36075.0,198435533
2026091001000123,2026-09-10,2026-09-10T11:03:33.363342,KDL,Kalinchowk Darshan Limited,9151,29,Trisul Securities & Invt. Ltd.,94,K.B.L. Securities Limited ,200,650.0,130000.0,198435542
2026091001000124,2026-09-10,2026-09-10T11:03:36.309725,NIMB,Nepal Investment Mega Bank Limited,132,49,Online Securities Pvt. Ltd.,56,Sri Hari Securities Pvt. Ltd.,300,182.5,54750.0,198435549
2026091001000125,2026-09-10,2026-09-10T11:03:42.718057,SAPIL,Sarvottam Paints Industries Limited,9353,74,KALASH STOCK MARKET PVT. LTD.,58,Naasa Securities Co. Ltd.,10,1234.0,12340.0,198435557
2026091001000126,2026-09-10,2026-09-10T11:03:42.742811,MEPDL,Mount Everest Power Development Limited,9352,50,Cristal Kanchanjanga Securites Pvt. Ltd.,45,Imperial Securities Company Pvt. Ltd.,10,618.0,6180.0,198435559
2026091001000127,2026-09-10,2026-09-10T11:03:49.318374,NABIL,Nabil Bank Limited,131,45,Imperial Securities Company Pvt. Ltd.,44,Dynamic Money Managers Securities Pvt. Ltd.,10,554.9,5549.0,198435566
2026091001000128,2026-09-10,2026-09-10T11:03:57.236236,KDL,Kalinchowk Darshan Limited,9151,39,Sumeru Securities Pvt. Ltd.,80,Indira securities pvt. ltd,14,640.0,8960.0,198435596
2026091001000129,2026-09-10,2026-09-10T11:03:57.236374,KDL,Kalinchowk Darshan Limited,9151,35,Kohinoor Investment & Securities Pvt. Ltd.,80,Indira securities pvt. ltd,100,640.0,64000.0,198435598
2026091001000130,2026-09-10,2026-09-10T11:03:57.236482,KDL,Kalinchowk Darshan Limited,9151,62,Capital Max Securities Ltd,80,Indira securities pvt. ltd,20,638.1,12762.0,198435600
2026091001000131,2026-09-10,2026-09-10T11:03:57.236578,KDL,Kalinchowk Darshan Limited,9151,35,Kohinoor Investment & Securities Pvt. Ltd.,80,Indira securities pvt. ltd,94,638.0,59972.0,198435602
2026091001000132,2026-09-10,2026-09-10T11:03:57.236662,KDL,Kalinchowk Darshan Limited,9151,17,ABC Securities Private Limited,80,Indira securities pvt. ltd,100,638.0,63800.0,198435604
